match_details_link,match_details_time,match_details_date,match_details_teams,match_details_league,match_details_bet_options_option_1,match_details_bet_options_option_x,match_details_bet_options_option_2,match_details_bet_options_bet_count
https://www.betpawa.co.ke/event/32234803?filter=all,6:00 am,Thu 15/01,"Deportivo Toluca FC
Club Santos Laguna","Football / Mexico / Primera Division, Clausura",1.16,7.00,13.50,70
https://www.betpawa.co.ke/event/32030066?filter=all,10:30 pm,Thu 15/01,"FC Augsburg
Union Berlin",Football / Germany / Bundesliga,2.40,3.25,3.05,109
https://www.betpawa.co.ke/event/32271569?filter=all,11:35 am,Fri 16/01,"Melbourne City FC
Auckland FC",Football / Australia / A-League,2.40,3.50,2.90,101
https://www.betpawa.co.ke/event/32240317?filter=all,1:45 pm,Fri 16/01,"Perth Glory FC
Brisbane Roar FC",Football / Australia / A-League,2.40,3.50,2.85,101
https://www.betpawa.co.ke/event/32004126?filter=all,9:00 pm,Fri 16/01,"AS Monaco
FC Lorient",Football / France / Ligue 1,1.59,4.40,5.25,115
https://www.betpawa.co.ke/event/32271590?filter=all,10:00 pm,Fri 16/01,"Rodez Aveyron Football
Le Mans FC",Football / France / Ligue 2,2.80,3.30,2.60,100
https://www.betpawa.co.ke/event/32240412?filter=all,10:00 pm,Fri 16/01,"Stade Lavallois MFC
SC Bastia",Football / France / Ligue 2,2.35,3.00,3.50,97
https://www.betpawa.co.ke/event/32240439?filter=all,10:00 pm,Fri 16/01,"FC Annecy
Amiens SC",Football / France / Ligue 2,1.64,3.65,6.00,100
https://www.betpawa.co.ke/event/32271534?filter=all,10:00 pm,Fri 16/01,"US Boulogne
Montpellier HSC",Football / France / Ligue 2,3.50,3.30,2.16,99
https://www.betpawa.co.ke/event/32313386?filter=all,10:00 pm,Fri 16/01,"USL Dunkerque
Pau FC",Football / France / Ligue 2,1.76,3.75,4.60,102
https://www.betpawa.co.ke/event/32215191?filter=all,10:45 pm,Fri 16/01,"Club Brugge
RAAL La Louviere",Football / Belgium / Pro League,1.38,4.95,7.50,107
https://www.betpawa.co.ke/event/32062039?filter=all,11:00 pm,Fri 16/01,"Paris Saint-Germain
Lille OSC",Football / France / Ligue 1,1.49,4.70,6.00,113
https://www.betpawa.co.ke/event/32240326?filter=all,11:00 pm,Fri 16/01,"West Bromwich Albion
Middlesbrough FC",Football / England / Championship,2.40,3.35,2.90,110
https://www.betpawa.co.ke/event/32271513?filter=all,11:00 pm,Fri 16/01,"Espanyol Barcelona
Girona FC",Football / Spain / LaLiga,1.91,3.55,4.10,110
https://www.betpawa.co.ke/event/32240361?filter=all,11:15 pm,Fri 16/01,"Sporting CP
Casa Pia Lisbon",Football / Portugal / Liga Portugal,1.10,8.75,24.50,107
https://www.betpawa.co.ke/event/32296265?filter=all,9:00 am,Sat 17/01,"Western Sydney Wanderers
Newcastle United Jets",Football / Australia / A-League,1.98,4.10,3.30,100
https://www.betpawa.co.ke/event/32319337?filter=all,10:00 am,Sat 17/01,"Central Coast Mariners
Macarthur FC",Football / Australia / A-League,2.75,3.70,2.40,101
https://www.betpawa.co.ke/event/32296159?filter=all,11:35 am,Sat 17/01,"Adelaide United FC
Melbourne Victory",Football / Australia / A-League,2.90,3.90,2.23,100
https://www.betpawa.co.ke/event/32319374?filter=all,3:30 pm,Sat 17/01,"Watford FC
Millwall FC",Football / England / Championship,1.90,3.45,4.05,108
https://www.betpawa.co.ke/event/32296014?filter=all,3:30 pm,Sat 17/01,"Ipswich Town
Blackburn Rovers",Football / England / Championship,1.49,4.25,6.25,111
https://www.betpawa.co.ke/event/32319278?filter=all,3:30 pm,Sat 17/01,"Manchester United
Manchester City",Football / England / Premier League,4.00,4.10,1.79,115
https://www.betpawa.co.ke/event/32337111?filter=all,3:30 pm,Sat 17/01,"Coventry City
Leicester City",Football / England / Championship,1.63,4.10,4.95,113
https://www.betpawa.co.ke/event/32365868?filter=all,4:00 pm,Sat 17/01,"ESTAC Troyes
Stade Reims",Football / France / Ligue 2,2.45,3.30,3.00,99
https://www.betpawa.co.ke/event/32365816?filter=all,4:00 pm,Sat 17/01,"Grenoble Foot
Red Star FC",Football / France / Ligue 2,2.90,3.20,2.55,98
https://www.betpawa.co.ke/event/32295841?filter=all,4:00 pm,Sat 17/01,"Real Madrid
Levante UD",Football / Spain / LaLiga,1.16,8.50,14.00,109
https://www.betpawa.co.ke/event/32004578?filter=all,4:30 pm,Sat 17/01,"Panserraikos FC
AE Kifisia FC",Football / Greece / Super League 1,4.55,3.40,1.76,72
https://www.betpawa.co.ke/event/32156407?filter=all,5:00 pm,Sat 17/01,"Istanbul Basaksehir
Fatih Karagumruk Istanbul",Football / Turkey / Super Lig,1.49,4.35,6.25,111
https://www.betpawa.co.ke/event/32337182?filter=all,6:00 pm,Sat 17/01,"Sunderland AFC
Crystal Palace",Football / England / Premier League,2.85,3.20,2.60,108
https://www.betpawa.co.ke/event/32337174?filter=all,6:00 pm,Sat 17/01,"Stoke City
Queens Park Rangers",Football / England / Championship,2.30,3.25,3.15,109
https://www.betpawa.co.ke/event/32319302?filter=all,6:00 pm,Sat 17/01,"Liverpool FC
Burnley FC",Football / England / Premier League,1.21,6.50,13.00,107
https://www.betpawa.co.ke/event/32319198?filter=all,6:00 pm,Sat 17/01,"Preston North End
Derby County",Football / England / Championship,2.25,3.10,3.35,108
https://www.betpawa.co.ke/event/32365928?filter=all,6:00 pm,Sat 17/01,"Oxford United
Bristol City",Football / England / Championship,2.95,3.35,2.35,110
https://www.betpawa.co.ke/event/32365922?filter=all,6:00 pm,Sat 17/01,"Leeds United
Fulham FC",Football / England / Premier League,2.23,3.30,3.35,109
https://www.betpawa.co.ke/event/32365905?filter=all,6:00 pm,Sat 17/01,"Wrexham AFC
Norwich City",Football / England / Championship,2.02,3.45,3.60,109
https://www.betpawa.co.ke/event/32365965?filter=all,6:00 pm,Sat 17/01,"Sheffield Wednesday
Portsmouth FC",Football / England / Championship,3.10,3.25,2.35,111
https://www.betpawa.co.ke/event/32365953?filter=all,6:00 pm,Sat 17/01,"Chelsea FC
Brentford FC",Football / England / Premier League,1.60,4.20,5.25,112
https://www.betpawa.co.ke/event/32281575?filter=all,6:00 pm,Sat 17/01,"SV Zulte Waregem
KRC Genk",Football / Belgium / Pro League,3.35,3.65,2.04,111
https://www.betpawa.co.ke/event/32296131?filter=all,6:00 pm,Sat 17/01,"Charlton Athletic
Sheffield United",Football / England / Championship,3.35,3.30,2.17,109
https://www.betpawa.co.ke/event/32296189?filter=all,6:00 pm,Sat 17/01,"Tottenham Hotspur
West Ham United",Football / England / Premier League,1.70,4.00,4.70,113
https://www.betpawa.co.ke/event/32296172?filter=all,6:00 pm,Sat 17/01,"Southampton FC
Hull City",Football / England / Championship,1.61,4.05,5.25,113
https://www.betpawa.co.ke/event/32336937?filter=all,6:15 pm,Sat 17/01,"RCD Mallorca
Athletic Bilbao",Football / Spain / LaLiga,3.70,3.10,2.18,109
https://www.betpawa.co.ke/event/32296262?filter=all,6:30 pm,Sat 17/01,"Gil Vicente Barcelos
Nacional da Madeira",Football / Portugal / Liga Portugal,1.74,3.40,5.25,107
https://www.betpawa.co.ke/event/32062148?filter=all,6:30 pm,Sat 17/01,"Ajax Amsterdam
Go Ahead Eagles",Football / Netherlands / Eredivisie,1.39,4.85,7.25,108
https://www.betpawa.co.ke/event/32062035?filter=all,7:00 pm,Sat 17/01,"RC Lens
AJ Auxerre",Football / France / Ligue 1,1.47,4.50,6.50,112
https://www.betpawa.co.ke/event/32004657?filter=all,7:30 pm,Sat 17/01,"Asteras Tripolis
Olympiacos Piraeus",Football / Greece / Super League 1,9.00,4.25,1.35,72
https://www.betpawa.co.ke/event/32312324?filter=all,8:00 pm,Sat 17/01,"FC Winterthur
FC St. Gallen 1879",Football / Switzerland / Super League,4.20,4.10,1.76,102
https://www.betpawa.co.ke/event/32289077?filter=all,8:00 pm,Sat 17/01,"FC Luzern
FC Lugano",Football / Switzerland / Super League,2.75,3.50,2.45,101
https://www.betpawa.co.ke/event/32129875?filter=all,8:00 pm,Sat 17/01,"Galatasaray Istanbul
Gaziantep FK",Football / Turkey / Super Lig,1.18,7.25,13.00,107
https://www.betpawa.co.ke/event/32230454?filter=all,8:15 pm,Sat 17/01,"KVC Westerlo
Cercle Brugge",Football / Belgium / Pro League,2.09,3.75,3.20,110
